id,name,common_name
171,Piranga olivacea,Scarlet tanager
172,Piranga flava,Hepatic tanager
173,Amphispiza bilineata,Black-throated sparrow
174,Larus dominicanus,Kelp gull
175,Piaya cayana,Squirrel cuckoo
176,Aimophila ruficeps,Rufous-crowned sparrow
177,Melanerpes lewis,Lewis's woodpecker
178,Melanerpes uropygialis,Gila woodpecker
179,Passerculus sandwichensis,Savannah sparrow
180,Melanerpes pucherani,Black-cheeked woodpecker
181,Salpinctes obsoletus,Rock wren
182,Melanerpes carolinus,Red-bellied woodpecker
183,Melanerpes chrysogenys,Golden-cheeked woodpecker
184,Melanerpes formicivorus,Acorn woodpecker
185,Colaptes auratus,Northern flicker
186,Basileuterus rufifrons,Rufous-capped warbler
187,Larus michahellis,Yellow-legged gull
188,Ramphocelus passerinii,Scarlet-rumped tanager
189,Athene cunicularia,Burrowing owl
190,Branta hutchinsii,Cackling goose
191,Fringilla montifringilla,Brambling
192,Fringilla coelebs,Common chaffinch
193,Junco hyemalis,Dark-eyed junco
194,Cuculus canorus,Common cuckoo
195,Junco phaeonotus,Yellow-eyed junco
196,Ammodramus nelsoni,Nelson's sparrow
197,Ammodramus savannarum,Grasshopper sparrow
198,Ammodramus maritimus,Seaside sparrow
199,Coccyzus erythropthalmus,Black-billed cuckoo
200,Coccyzus minor,Mangrove cuckoo
201,Coccyzus americanus,Yellow-billed cuckoo
202,Nucifraga columbiana,Clark's nutcracker
203,Crotophaga sulcirostris,Groove-billed ani
204,Pooecetes gramineus,Vesper sparrow
205,Arremonops rufivirgatus,Olive sparrow
206,Geococcyx californianus,Greater roadrunner
207,Geococcyx velox,Lesser roadrunner
208,Coereba flaveola,Bananaquit
209,Passerina ciris,Painted bunting
210,Alectura lathami,Australian brushturkey
211,Passerina leclancherii,Orange-breasted bunting
212,Passerina amoena,Lazuli bunting
213,Icteria virens,Yellow-breasted chat
214,Crax rubra,Great curassow
215,Penelope purpurascens,Crested guan
216,Copsychus malabaricus,White-rumped shama
217,Paroaria capitata,Yellow-billed cardinal
218,Cyanerpes cyaneus,Red-legged honeycreeper
219,Microcarbo melanoleucos brevirostris,Little pied cormorant
220,Sphyrapicus thyroideus,Williamson's sapsucker
221,Pheucticus ludovicianus,Rose-breasted grosbeak
222,Sphyrapicus ruber,Red-breasted sapsucker
223,Pheucticus melanocephalus,Black-headed grosbeak
224,Sphyrapicus nuchalis,Red-naped sapsucker
225,Ortalis poliocephala,West Mexican chachalaca
226,Ortalis vetula,Plain chachalaca
227,Corvus albus,Pied crow
228,Mniotilta varia,Black-and-white warbler
229,Volatinia jacarina,Blue-black grassquit
230,Thraupis palmarum,Palm tanager
231,Momotus mexicanus,Russet-crowned motmot
232,Euphagus cyanocephalus,Brewer's blackbird
233,Cacatua galerita,Sulphur-crested cockatoo
234,Junco hyemalis oreganus,Dark-eyed junco
235,Pluvialis fulva,Pacific golden plover
236,Molothrus aeneus,Bronzed cowbird
237,Molothrus ater,Brown-headed cowbird
238,Merops pusillus,Little bee-eater
239,Merops apiaster,European bee-eater
240,Pteroglossus torquatus,Collared aracari
241,Loxia curvirostra,Red crossbill
242,Merops orientalis,Green bee-eater
243,Loxia leucoptera,Two-barred crossbill
244,Coracias garrulus,European roller
245,Coracias caudatus,Lilac-breasted roller
246,Coracias benghalensis,Indian roller
247,Xanthocephalus xanthocephalus,Yellow-headed blackbird
248,Chondestes grammacus,Lark sparrow
249,Dolichonyx oryzivorus,Bobolink
250,Pandion haliaetus,Osprey
251,Phainopepla nitens,Phainopepla
252,Tyrannus couchii,Couch's kingbird
253,Phylloscopus collybita,Common chiffchaff
254,Circus cyaneus hudsonius,Northern harrier
255,Grallina cyanoleuca,Magpie-lark
256,Plectrophenax nivalis,Snow bunting
257,Calamospiza melanocorys,Lark bunting
