id,name,common_name
679,Porphyrio melanotus melanotus,Australasian swamphen
680,Melanitta americana,Black scoter
681,Spizella pallida,Clay-colored sparrow
682,Amazilia rutila,Cinnamon hummingbird
683,Zenaida aurita,Zenaida dove
684,Prunella modularis,Dunnock
685,Falco tinnunculus,Common kestrel
686,Ixoreus naevius,Varied thrush
687,Archilochus colubris,Ruby-throated hummingbird
688,Lampornis clemenciae,Blue-throated mountaingem
689,Myiarchus tuberculifer,Dusky-capped flycatcher
690,Setophaga ruticilla,American redstart
691,Myiarchus tyrannulus,Brown-crested flycatcher
692,Zosterops lateralis,Silvereye
693,Zonotrichia leucophrys,White-crowned sparrow
694,Agelaius phoeniceus,Red-winged blackbird
695,Parus major,Great tit
696,Zonotrichia capensis,Rufous-collared sparrow
697,Oreothlypis peregrina,Tennessee warbler
698,Oreothlypis celata,Orange-crowned warbler
699,Oreothlypis ruficapilla,Nashville warbler
700,Geothlypis philadelphia,Mourning warbler
701,Geothlypis formosa,Kentucky warbler
702,Setophaga tigrina,Cape May warbler
703,Setophaga americana,Northern parula
704,Setophaga magnolia,Magnolia warbler
705,Setophaga castanea,Bay-breasted warbler
706,Setophaga fusca,Blackburnian warbler
707,Setophaga petechia,American yellow warbler
708,Setophaga striata,Blackpoll warbler
709,Setophaga palmarum,Palm warbler
710,Setophaga pinus,Pine warbler
711,Setophaga coronata,Yellow-rumped warbler
712,Setophaga dominica,Yellow-throated warbler
713,Campylopterus hemileucurus,Violet sabrewing
714,Vireo cassinii,Cassin's vireo
715,Setophaga nigrescens,Black-throated gray warbler
716,Setophaga townsendi,Townsend's warbler
717,Setophaga occidentalis,Hermit warbler
718,Setophaga chrysoparia,Golden-cheeked warbler
719,Setophaga virens,Black-throated green warbler
720,Cardellina canadensis,Canada warbler
721,Cardellina rubra,Red warbler
722,Aphelocoma coerulescens,Florida scrub jay
723,Melanerpes erythrocephalus,Red-headed woodpecker
724,Emberiza calandra,Corn bunting
725,Acanthis flammea,Common redpoll
726,Spinus pinus,Pine siskin
727,Thraupis abbas,Yellow-winged tanager
728,Spinus psaltria,Lesser goldfinch
729,Spinus lawrencei,Lawrence's goldfinch
730,Spinus tristis,American goldfinch
731,Threskiornis aethiopicus,African sacred ibis
732,Gygis alba,White tern
733,Tachycineta bicolor,Tree swallow
734,Larus dominicanus dominicanus,Kelp gull
735,Lonchura oryzivora,Java sparrow
736,Haematopus palliatus,American oystercatcher
737,Chloris chloris,European greenfinch
738,Accipiter cooperii,Cooper's hawk
739,Vireo solitarius,Blue-headed vireo
740,Selasphorus platycercus,Broad-tailed hummingbird
741,Chroicocephalus scopulinus,Red-billed gull
742,Aechmophorus occidentalis,Western grebe
743,Hemiphaga novaeseelandiae,Kererū
744,Xema sabini,Sabine's gull
745,Ramphastos sulfuratus,Keel-billed toucan
746,Dacelo novaeguineae,Laughing kookaburra
747,Fulica atra,Eurasian coot
748,Hirundo rustica erythrogaster,Barn swallow
749,Calypte costae,Costa's hummingbird
750,Calypte anna,Anna's hummingbird
751,Colaptes auratus cafer,Northern flicker
752,Sula nebouxii,Blue-footed booby
753,Copsychus saularis,Oriental magpie-robin
754,Selasphorus sasin,Allen's hummingbird
755,Selasphorus rufus,Rufous hummingbird
756,Calothorax lucifer,Lucifer sheartail
757,Pycnonotus barbatus,Common bulbul
758,Larus glaucescens × occidentalis,Larus
759,Aphelocoma woodhouseii,Woodhouse's scrub jay
760,Florisuga mellivora,White-necked jacobin
761,Haematopus finschi,South Island oystercatcher
762,Falcipennis canadensis,Spruce grouse
763,Archilochus alexandri,Black-chinned hummingbird
764,Circus cyaneus,Hen harrier
765,Ardea alba modesta,Eastern great egret
766,Myiarchus crinitus,Great crested flycatcher
767,Buteo regalis,Ferruginous hawk
768,Aeronautes saxatalis,White-throated swift
769,Chaetura vauxi,Vaux's swift
770,Chaetura pelagica,Chimney swift
771,Setophaga pensylvanica,Chestnut-sided warbler
772,Lanius ludovicianus,Loggerhead shrike
773,Anhinga anhinga,Anhinga
774,Acridotheres tristis,Common myna
775,Sitta pygmaea,Pygmy nuthatch
776,Actophilornis africanus,African jacana
777,Sitta canadensis,Red-breasted nuthatch
778,Sitta europaea,Eurasian nuthatch
779,Sitta pusilla,Brown-headed nuthatch
780,Apus apus,Common swift
781,Sturnus vulgaris,Common starling
782,Seiurus aurocapilla,Ovenbird
783,Motacilla flava,Western yellow wagtail
784,Vireo griseus,White-eyed vireo
785,Toxostoma longirostre,Long-billed thrasher
786,Calidris alba,Sanderling
787,Toxostoma redivivum,California thrasher
788,Gallinula galeata,Common gallinule
789,Calidris himantopus,Stilt sandpiper
790,Eugenes fulgens,Rivoli's hummingbird
791,Icterus wagleri,Black-vented oriole
792,Icterus parisorum,Scott's oriole
793,Buteo platypterus,Broad-winged hawk
794,Gallinago gallinago,Common snipe
795,Icterus spurius,Orchard oriole
796,Calidris minutilla,Least sandpiper
797,Dumetella carolinensis,Gray catbird
798,Porphyrio hochstetteri,South Island takahē
799,Calidris fuscicollis,White-rumped sandpiper
800,Phalaropus tricolor,Wilson's phalarope
801,Colaptes auratus auratus,Northern flicker
802,Melanotis caerulescens,Blue mockingbird
803,Tiaris olivaceus,Yellow-faced grassquit
804,Oreoscoptes montanus,Sage thrasher
805,Limnodromus scolopaceus,Long-billed dowitcher
806,Tringa solitaria,Solitary sandpiper
807,Sitta carolinensis,White-breasted nuthatch
808,Tringa totanus,Common redshank
809,Dendrocygna autumnalis,Black-bellied whistling duck
810,Dendrocygna viduata,White-faced whistling duck
811,Dendrocygna bicolor,Fulvous whistling duck
812,Icterus abeillei,Black-backed oriole
813,Vanellus chilensis,Southern lapwing
814,Cygnus buccinator,Trumpeter swan
815,Cygnus cygnus,Whooper swan
816,Cygnus columbianus,Tundra swan
817,Cygnus olor,Mute swan
818,Icterus galbula,Baltimore oriole
819,Anas platyrhynchos,Mallard
820,Anas acuta,Northern pintail
821,Anas crecca,Eurasian teal
822,Anas cyanoptera,Cinnamon teal
823,Anas fulvigula,Mottled duck
824,Anas discors,Blue-winged teal
825,Anas strepera,Gadwall
826,Anas clypeata,Northern shoveler
827,Anas chlorotis,Brown teal
828,Rhipidura leucophrys,Willie wagtail
829,Anas americana,American wigeon
830,Bucephala albeola,Bufflehead
831,Mergus serrator,Red-breasted merganser
832,Mergus merganser,Common merganser
833,Anser anser,Greylag goose
834,Anser albifrons,Greater white-fronted goose
835,Somateria mollissima,Common eider
836,Rallus obsoletus,Ridgway's rail
837,Platycercus elegans,Crimson rosella
838,Melanitta fusca,Velvet scoter
839,Milvus migrans,Black kite
840,Gelochelidon nilotica,Gull-billed tern
841,Ninox novaeseelandiae novaeseelandiae,Morepork
842,Melanitta perspicillata,Surf scoter
843,Aythya collaris,Ring-necked duck
844,Aythya ferina,Common pochard
845,Aythya fuligula,Tufted duck
846,Numenius americanus,Long-billed curlew
847,Chen caerulescens,Snow goose
848,Chamaea fasciata,Wrentit
849,Branta canadensis,Canada goose
850,Thalasseus elegans,Elegant tern
851,Branta sandvicensis,Nene (bird)
852,Aythya americana,Redhead (bird)
853,Aix sponsa,Wood duck
854,Lophodytes cucullatus,Hooded merganser
855,Histrionicus histrionicus,Harlequin duck
856,Aratinga nenday,Nanday parakeet
857,Psittacara holochlorus,Green parakeet
858,Cairina moschata,Muscovy duck
859,Netta rufina,Red-crested pochard
860,Psittacara erythrogenys,Red-masked parakeet
861,Sayornis saya,Say's phoebe
862,Aythya valisineria,Canvasback
863,Picoides albolarvatus,White-headed woodpecker
864,Vermivora cyanoptera,Blue-winged warbler
865,Corvus caurinus,Northwestern crow
866,Asio otus,Long-eared owl
867,Corvus brachyrhynchos,American crow
868,Clangula hyemalis,Long-tailed duck
869,Chenonetta jubata,Australian wood duck
870,Thalasseus sandvicensis,Sandwich tern
871,Eolophus roseicapilla,Galah
872,Colaptes rubiginosus,Golden-olive woodpecker
873,Meleagris gallopavo silvestris,Wild turkey
874,Ptiliogonys cinereus,Grey silky-flycatcher
875,Elanoides forficatus,Swallow-tailed kite
876,Carduelis carduelis,European goldfinch
877,Cassiculus melanicterus,Mexican cacique
878,Dendragapus fuliginosus,Sooty grouse
879,Psaltriparus minimus,American bushtit
880,Aegithalos caudatus,Long-tailed tit
881,Zosterops lateralis lateralis,Silvereye
882,Haliaeetus leucogaster,White-bellied sea eagle
883,Uria aalge,Common murre
884,Tringa semipalmata inornatus,List of birds of California
885,Alauda arvensis,Eurasian skylark
886,Galerida cristata,Crested lark
887,Delichon urbicum,Common house martin
888,Helmitheros vermivorum,Worm-eating warbler
889,Hylocharis leucotis,White-eared hummingbird
890,Mimus polyglottos,Northern mockingbird
891,Gymnorhina tibicen,Australian magpie
892,Alcedo atthis,Common kingfisher
893,Streptopelia chinensis,Spotted dove
894,Bombycilla cedrorum,Cedar waxwing
895,Bombycilla garrulus,Bohemian waxwing
896,Tadorna tadorna,Common shelduck
897,Petroica australis australis,South Island robin
898,Amazona autumnalis,Red-lored amazon
899,Dendragapus obscurus,Dusky grouse
900,Catherpes mexicanus,Canyon wren
901,Tadorna ferruginea,Ruddy shelduck
902,Campylorhynchus brunneicapillus,Cactus wren
903,Campylorhynchus rufinucha,Veracruz wren
904,Rhipidura fuliginosa,New Zealand fantail
905,Polioptila melanura,Black-tailed gnatcatcher
906,Pelecanus occidentalis carolinensis,Brown pelican
907,Melozone aberti,Abert's towhee
908,Melozone crissalis,California towhee
909,Thryothorus ludovicianus,Carolina wren
910,Parabuteo unicinctus,Harris's hawk
911,Anas platyrhynchos domesticus,Domestic duck
912,Troglodytes aedon,House wren
913,Buteo lineatus elegans,Red-shouldered hawk
914,Thamnophilus doliatus,Barred antshrike
915,Thryomanes bewickii,Bewick's wren
916,Tadorna variegata,Paradise shelduck
917,Myioborus miniatus,Slate-throated whitestart
918,Phalacrocorax varius varius,Australian pied cormorant
919,Myioborus pictus,Painted whitestart
920,Larus argentatus smithsonianus,American herring gull
921,Parkesia motacilla,Louisiana waterthrush
922,Sula granti,Nazca booby
923,Ara macao,Scarlet macaw
924,Peucaea ruficauda,Stripe-headed sparrow
925,Calidris subruficollis,Buff-breasted sandpiper
926,Phoenicopterus roseus,Greater flamingo
927,Morus bassanus,Northern gannet
928,Pelecanus occidentalis californicus,Brown pelican
929,Glaucidium brasilianum,Ferruginous pygmy owl
930,Oxyura jamaicensis,Ruddy duck
931,Myiarchus cinerascens,Ash-throated flycatcher
932,Chloroceryle americana,Green kingfisher
933,Sturnella neglecta,Western meadowlark
934,Ramphastos ambiguus,Yellow-throated toucan
935,Paroaria coronata,Red-crested cardinal
936,Buteo buteo,Common buzzard
937,Myiodynastes luteiventris,Sulphur-bellied flycatcher
938,Contopus sordidulus,Western wood pewee
939,Corvus corone,Carrion crow
940,Cyanoramphus novaezelandiae,Red-crowned parakeet
941,Contopus virens,Eastern wood pewee
942,Contopus pertinax,Greater pewee
943,Contopus cooperi,Olive-sided flycatcher
944,Larus argentatus,European herring gull
945,Halcyon smyrnensis,White-throated kingfisher
946,Onychognathus morio,Red-winged starling
947,Cyanocompsa parellina,Blue bunting
948,Cistothorus palustris,Marsh wren
949,Tyto alba,Western barn owl
950,Trogon caligatus,Gartered trogon
951,Corvus monedula,Western jackdaw
952,Corvus ossifragus,Fish crow
953,Spheniscus demersus,African penguin
954,Corvus frugilegus,Rook (bird)
955,Corvus splendens,House crow
956,Branta bernicla,Brant (goose)
957,Larus hyperboreus,Glaucous gull
958,Columba livia domestica,Domestic pigeon
959,Garrulus glandarius,Eurasian jay
960,Anser anser domesticus,Domestic goose
961,Mitrephanes phaeocercus,Northern tufted flycatcher
962,Ardenna creatopus,Pink-footed shearwater
963,Ardenna gravis,Great shearwater
